Standard:, axo_std.mca0,,,,,,,,,,,,,,,,,,,,,,
realtime[s]:,121.911,121.911,,,,,,,,,,,,,,,,,,,,,
livetime[s]:,119.804,119.804,,,,,,,,,,,,,,,,,,,,,
I_[mA]:,101.966,,,,,,,,,,,,,,,,,,,,,,
US_IC[cts/s]:,"	231435.0",,,,,,,,,,,,,,,,,,,,,,
DS_IC[cts/s]:,"	189396.0",,,,,,,,,,,,,,,,,,,,,,
US_AMP[sensitivity/units/factor]:,100, nA/V,1,,,,,,,,,,,,,,,,,,,,
DS_AMP[sensitivity/units/factor]:,5, nA/V,50,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
name , z, units[DS_IC], units[US_IC], units[SRCurrent], units[1], use, calib, center, shift, width, bkground_left, bkground_right, left_roi[0], right_roi[0], left_bkground[0], right_bkground[0], absorption_1um_element, Be_window_transmission, Ge_dead_layer_transmission, XRF_yield, fraction_photons_absorbed_in_det, air_absoprtion, total_XRF_efficiency_factor
calib_curve_roi,Nb,41,3.106817995,0.001368807,0.001672632,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Mo,42,3.006299897,0.00132452,0.001618516,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Tc,43,2.904103323,0.001279494,0.001563496,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Ru,44,2.765883785,0.001218597,0.001489082,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Rh,45,2.732139628,0.00120373,0.001470915,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Pd,46,2.582897848,0.001137977,0.001390567,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Ag,47,2.453853568,0.001081123,0.001321092,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Cd,48,2.345319141,0.001033304,0.00126266,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,In,49,2.157893051,0.000950728,0.001161755,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Sn,50,2.077012117,0.000915093,0.001118211,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Sb,51,1.865502467,0.000821906,0.001004339,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Te,52,1.902422872,0.000838172,0.001024216,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,I,53,1.757471,0.000774309,0.000946178,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Hf,72,0.894390166,0.000394052,0.000481517,0,0,0,0,,,,,,,,,,,,,,
